epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,186.962,1.49028,0.80834,1.10968,0.65096,0.69441,0.69225,0.3345,1.7351,0.839,1.2509,0.000484063,0.000484063,0.000484063
59,189.924,1.4841,0.80707,1.10811,0.66898,0.71716,0.70087,0.3418,1.73053,0.83388,1.24986,0.000473064,0.000473064,0.000473064
60,192.881,1.48213,0.7933,1.11667,0.61208,0.68731,0.68846,0.33193,1.7394,0.87186,1.25421,0.000462065,0.000462065,0.000462065
61,195.917,1.49407,0.78227,1.096,0.67682,0.66556,0.69939,0.32752,1.77707,0.87702,1.27703,0.000451066,0.000451066,0.000451066
62,198.972,1.48021,0.78132,1.09779,0.69052,0.66115,0.69868,0.33869,1.74963,0.85921,1.26585,0.000440067,0.000440067,0.000440067
63,202.06,1.47581,0.78356,1.11357,0.69645,0.65902,0.70019,0.34589,1.7504,0.84693,1.25673,0.000429068,0.000429068,0.000429068
64,205.112,1.49137,0.79526,1.10196,0.69734,0.67205,0.70283,0.35714,1.73417,0.83685,1.25171,0.000418069,0.000418069,0.000418069
65,208.105,1.4489,0.76392,1.09066,0.66619,0.6942,0.71278,0.35377,1.7331,0.81281,1.24837,0.00040707,0.00040707,0.00040707
66,211.018,1.47625,0.77661,1.09799,0.64965,0.68804,0.70316,0.34803,1.73018,0.82081,1.24474,0.000396071,0.000396071,0.000396071
67,213.984,1.43763,0.7577,1.08815,0.68642,0.68943,0.69732,0.34843,1.75365,0.84088,1.25883,0.000385073,0.000385073,0.000385073
68,217.022,1.44771,0.7595,1.10034,0.68293,0.70701,0.70421,0.351,1.75775,0.84355,1.26262,0.000374074,0.000374074,0.000374074
69,220.116,1.44552,0.75234,1.08808,0.67896,0.69033,0.70033,0.3508,1.76331,0.82332,1.26735,0.000363075,0.000363075,0.000363075
70,223.167,1.44417,0.75486,1.09316,0.65741,0.68914,0.68779,0.33659,1.75459,0.82494,1.26828,0.000352076,0.000352076,0.000352076
71,226.098,1.42934,0.74922,1.08124,0.66007,0.69855,0.69277,0.33323,1.76537,0.82322,1.27164,0.000341077,0.000341077,0.000341077
72,229.037,1.4409,0.74803,1.07682,0.63872,0.69745,0.6902,0.33549,1.75124,0.81463,1.26411,0.000330078,0.000330078,0.000330078
73,232.027,1.44784,0.75266,1.09151,0.68275,0.65722,0.68861,0.33014,1.765,0.82147,1.26797,0.000319079,0.000319079,0.000319079
74,235.098,1.4461,0.74644,1.08316,0.66094,0.68188,0.68815,0.33179,1.74442,0.81073,1.25141,0.00030808,0.00030808,0.00030808
75,238.183,1.43143,0.7402,1.09826,0.65806,0.69528,0.69051,0.33221,1.75033,0.813,1.25804,0.000297081,0.000297081,0.000297081
76,241.205,1.39789,0.73574,1.08082,0.67707,0.6925,0.69348,0.33794,1.7417,0.81008,1.2514,0.000286083,0.000286083,0.000286083
77,244.231,1.40903,0.72868,1.08045,0.6828,0.70415,0.70612,0.34476,1.72704,0.80355,1.24953,0.000275084,0.000275084,0.000275084
78,247.165,1.40534,0.73705,1.07859,0.66238,0.69363,0.69331,0.34225,1.74285,0.79069,1.25689,0.000264085,0.000264085,0.000264085
79,250.218,1.40859,0.73497,1.08322,0.69209,0.65794,0.68984,0.3404,1.75542,0.79908,1.26183,0.000253086,0.000253086,0.000253086
80,253.348,1.40564,0.73211,1.0873,0.67245,0.64978,0.67987,0.3337,1.76445,0.81536,1.27252,0.000242087,0.000242087,0.000242087
81,256.445,1.43376,0.72993,1.07774,0.67669,0.66845,0.68222,0.33478,1.75349,0.80764,1.27452,0.000231088,0.000231088,0.000231088
82,259.449,1.41057,0.71511,1.07724,0.67193,0.68332,0.68391,0.33225,1.76342,0.81132,1.2743,0.000220089,0.000220089,0.000220089
83,262.462,1.40033,0.71553,1.07078,0.67131,0.67776,0.68361,0.33337,1.76095,0.81136,1.2658,0.00020909,0.00020909,0.00020909
84,265.486,1.39246,0.71571,1.09207,0.67182,0.6887,0.6887,0.34092,1.75809,0.8087,1.26208,0.000198091,0.000198091,0.000198091
85,268.57,1.38905,0.70841,1.05848,0.66861,0.69848,0.69498,0.34483,1.7484,0.79996,1.25443,0.000187092,0.000187092,0.000187092
86,271.73,1.40184,0.72238,1.07823,0.67986,0.68565,0.69407,0.34413,1.74107,0.79678,1.24848,0.000176094,0.000176094,0.000176094
87,274.749,1.4058,0.72456,1.07456,0.6636,0.68523,0.69099,0.34052,1.74667,0.79632,1.2564,0.000165095,0.000165095,0.000165095
88,277.72,1.39347,0.71476,1.07824,0.66399,0.67748,0.68697,0.33764,1.74414,0.7927,1.26221,0.000154096,0.000154096,0.000154096
89,280.613,1.38224,0.70706,1.07583,0.65384,0.69325,0.69012,0.33706,1.75628,0.79352,1.27047,0.000143097,0.000143097,0.000143097
90,283.636,1.36804,0.69308,1.05598,0.65013,0.7007,0.68717,0.33575,1.74857,0.79351,1.26577,0.000132098,0.000132098,0.000132098
91,288.717,1.40304,0.72198,1.11078,0.6548,0.67589,0.68506,0.33462,1.75949,0.80064,1.26381,0.000121099,0.000121099,0.000121099
92,292.096,1.37485,0.68075,1.09696,0.68665,0.66108,0.68717,0.34029,1.75122,0.81248,1.25172,0.0001101,0.0001101,0.0001101
93,295.01,1.36684,0.68163,1.08328,0.69837,0.67101,0.69179,0.34283,1.74469,0.811,1.24971,9.91012e-05,9.91012e-05,9.91012e-05
94,297.923,1.3551,0.68043,1.07825,0.68573,0.68268,0.69493,0.34256,1.74197,0.79755,1.25355,8.81023e-05,8.81023e-05,8.81023e-05
95,300.776,1.34099,0.66437,1.07884,0.68546,0.68023,0.69296,0.34289,1.74268,0.79543,1.25831,7.71034e-05,7.71034e-05,7.71034e-05
96,303.758,1.33639,0.66126,1.07563,0.68635,0.67163,0.69016,0.34056,1.74848,0.79549,1.26377,6.61045e-05,6.61045e-05,6.61045e-05
97,306.825,1.33029,0.65877,1.05669,0.68582,0.67419,0.69374,0.3404,1.75157,0.79584,1.267,5.51056e-05,5.51056e-05,5.51056e-05
98,309.806,1.33495,0.66162,1.0799,0.68282,0.66786,0.6905,0.34099,1.74487,0.79394,1.26217,4.41067e-05,4.41067e-05,4.41067e-05
99,312.713,1.3397,0.65632,1.07002,0.67866,0.67164,0.69054,0.34147,1.74239,0.79547,1.25918,3.31078e-05,3.31078e-05,3.31078e-05
100,315.637,1.33683,0.65379,1.07061,0.67932,0.67517,0.69006,0.34052,1.7431,0.7998,1.25965,2.21089e-05,2.21089e-05,2.21089e-05
