epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2150.83,1.21528,0.51033,1.17623,0.85778,0.82376,0.8311,0.40503,1.82151,0.74257,1.83957,0.000313437,0.000313437,0.000313437
77,2179,1.18406,0.49512,1.1559,0.85163,0.81097,0.82804,0.40333,1.83211,0.74915,1.84131,0.00030095,0.00030095,0.00030095
78,2207.1,1.20768,0.49609,1.17,0.84872,0.79119,0.82518,0.39879,1.85278,0.77171,1.83138,0.000288462,0.000288462,0.000288462
79,2235.26,1.18172,0.49186,1.15268,0.83233,0.85978,0.84068,0.41407,1.84099,0.7434,1.86991,0.000275975,0.000275975,0.000275975
80,2263.43,1.17,0.48878,1.13431,0.85138,0.79461,0.82279,0.40983,1.81743,0.74706,1.81476,0.000263487,0.000263487,0.000263487
81,2291.66,1.17554,0.49433,1.14631,0.83058,0.80836,0.82188,0.40574,1.80951,0.76723,1.79037,0.000251,0.000251,0.000251
82,2319.78,1.16798,0.48448,1.14451,0.84111,0.81816,0.83155,0.40353,1.83684,0.75706,1.84921,0.000238512,0.000238512,0.000238512
83,2347.88,1.16087,0.48291,1.14028,0.84211,0.81601,0.82425,0.41356,1.79709,0.73751,1.82682,0.000226025,0.000226025,0.000226025
84,2376.01,1.12824,0.46795,1.12662,0.81419,0.85541,0.83239,0.41175,1.84016,0.72288,1.85506,0.000213538,0.000213538,0.000213538
85,2404.17,1.11592,0.46527,1.11957,0.8512,0.82004,0.83801,0.40758,1.85423,0.74321,1.87811,0.00020105,0.00020105,0.00020105
86,2432.35,1.12581,0.46714,1.1158,0.81942,0.83185,0.82788,0.40658,1.82582,0.73615,1.86421,0.000188563,0.000188563,0.000188563
87,2460.48,1.12451,0.46654,1.13539,0.83078,0.80986,0.82911,0.40919,1.82998,0.74023,1.87912,0.000176075,0.000176075,0.000176075
88,2488.61,1.09498,0.4558,1.10523,0.81943,0.83883,0.82469,0.3998,1.85782,0.74399,1.87871,0.000163588,0.000163588,0.000163588
89,2516.79,1.10485,0.46134,1.11708,0.84585,0.81034,0.8278,0.41121,1.80797,0.72525,1.86542,0.0001511,0.0001511,0.0001511
90,2544.95,1.10082,0.46198,1.11839,0.85917,0.81594,0.83343,0.40768,1.8298,0.72032,1.87982,0.000138612,0.000138612,0.000138612
91,2574.69,1.1697,0.45567,1.23102,0.7916,0.85224,0.81603,0.39946,1.81816,0.72868,1.84949,0.000126125,0.000126125,0.000126125
92,2603.17,1.08669,0.42945,1.17956,0.81467,0.84567,0.82601,0.40046,1.82607,0.71766,1.86873,0.000113637,0.000113637,0.000113637
93,2630.97,1.09761,0.42844,1.17784,0.83115,0.8256,0.83031,0.40622,1.8283,0.72126,1.88455,0.00010115,0.00010115,0.00010115
94,2658.73,1.07176,0.42419,1.16081,0.84254,0.81102,0.82861,0.41157,1.83051,0.72508,1.90074,8.86625e-05,8.86625e-05,8.86625e-05
95,2686.5,1.07878,0.42509,1.17005,0.81653,0.83693,0.82921,0.4131,1.81735,0.72423,1.89004,7.6175e-05,7.6175e-05,7.6175e-05
96,2714.22,1.05605,0.42105,1.15201,0.82297,0.85881,0.83384,0.41494,1.82175,0.72179,1.89736,6.36875e-05,6.36875e-05,6.36875e-05
97,2742.01,1.04149,0.4112,1.14676,0.83462,0.8406,0.83323,0.41281,1.82553,0.72637,1.89478,5.12e-05,5.12e-05,5.12e-05
98,2769.8,1.05269,0.41593,1.16121,0.8202,0.84889,0.83488,0.41238,1.82679,0.73371,1.90329,3.87125e-05,3.87125e-05,3.87125e-05
99,2797.55,1.02902,0.40991,1.13381,0.83049,0.83995,0.831,0.40723,1.83728,0.73888,1.91861,2.6225e-05,2.6225e-05,2.6225e-05
100,2825.32,1.03905,0.41807,1.14784,0.83111,0.83747,0.82988,0.40782,1.83655,0.74113,1.92382,1.37375e-05,1.37375e-05,1.37375e-05
