epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,328.736,1.43721,0.71924,1.09907,0.664,0.65355,0.6917,0.34248,1.71626,0.81434,1.24185,0.000528058,0.000528058,0.000528058
55,334.72,1.45712,0.73297,1.10588,0.68726,0.63661,0.68749,0.34583,1.68049,0.82767,1.2234,0.000517059,0.000517059,0.000517059
56,340.706,1.43891,0.73392,1.10471,0.68654,0.68565,0.69827,0.35229,1.66454,0.7998,1.21485,0.00050606,0.00050606,0.00050606
57,346.788,1.45828,0.72859,1.09889,0.6783,0.67102,0.6889,0.33797,1.67682,0.80854,1.23547,0.000495062,0.000495062,0.000495062
58,352.715,1.42726,0.73086,1.09305,0.67937,0.68367,0.6897,0.34337,1.67329,0.80023,1.22867,0.000484063,0.000484063,0.000484063
59,358.566,1.4385,0.72711,1.10164,0.67974,0.67124,0.6933,0.34635,1.67156,0.79184,1.23208,0.000473064,0.000473064,0.000473064
60,364.553,1.42355,0.71722,1.1019,0.67675,0.66728,0.68322,0.34245,1.6673,0.79425,1.22358,0.000462065,0.000462065,0.000462065
61,370.506,1.4304,0.69898,1.08362,0.66372,0.68018,0.69328,0.33518,1.71088,0.79958,1.25702,0.000451066,0.000451066,0.000451066
62,376.42,1.41387,0.69646,1.08423,0.69957,0.65871,0.69087,0.33921,1.7038,0.78997,1.249,0.000440067,0.000440067,0.000440067
63,382.356,1.41257,0.70372,1.10174,0.70217,0.66515,0.69165,0.34719,1.68406,0.78702,1.23339,0.000429068,0.000429068,0.000429068
64,388.293,1.42796,0.7129,1.08294,0.71235,0.64726,0.68783,0.34168,1.67902,0.80013,1.23164,0.000418069,0.000418069,0.000418069
