epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,621.696,1.36181,0.63121,1.09576,0.67179,0.6746,0.68127,0.33437,1.73942,0.75861,1.37425,0.000495062,0.000495062,0.000495062
58,632.32,1.34514,0.63231,1.09213,0.65477,0.71373,0.6838,0.33649,1.73513,0.75488,1.37589,0.000484063,0.000484063,0.000484063
59,642.933,1.33443,0.62773,1.09722,0.6482,0.72059,0.67557,0.333,1.75244,0.7573,1.38294,0.000473064,0.000473064,0.000473064
60,653.643,1.31625,0.6192,1.09416,0.64679,0.68849,0.68147,0.34297,1.72922,0.76892,1.36144,0.000462065,0.000462065,0.000462065
61,664.23,1.32494,0.60172,1.07414,0.64121,0.70526,0.69651,0.34553,1.76498,0.77662,1.3953,0.000451066,0.000451066,0.000451066
62,674.847,1.32801,0.60614,1.08763,0.66869,0.68101,0.6784,0.34256,1.7477,0.7477,1.3849,0.000440067,0.000440067,0.000440067
63,685.442,1.31191,0.60812,1.10278,0.66807,0.67375,0.67588,0.34044,1.73875,0.75266,1.36963,0.000429068,0.000429068,0.000429068
64,696.114,1.32742,0.61629,1.07932,0.66177,0.67138,0.67082,0.33726,1.74185,0.76685,1.37473,0.000418069,0.000418069,0.000418069
65,706.758,1.28278,0.59079,1.07102,0.6782,0.67357,0.68529,0.34428,1.74843,0.75045,1.38039,0.00040707,0.00040707,0.00040707
66,717.45,1.29114,0.603,1.07265,0.66517,0.67827,0.68303,0.34586,1.74107,0.73986,1.38263,0.000396071,0.000396071,0.000396071
67,728.02,1.25751,0.58125,1.06701,0.66796,0.70296,0.68368,0.34465,1.73868,0.73514,1.37431,0.000385073,0.000385073,0.000385073
68,738.582,1.27043,0.58401,1.07167,0.67218,0.66462,0.68467,0.34175,1.74156,0.74216,1.37859,0.000374074,0.000374074,0.000374074
69,749.178,1.25473,0.58142,1.05896,0.64596,0.69107,0.68337,0.33918,1.75771,0.76534,1.399,0.000363075,0.000363075,0.000363075
70,759.737,1.24743,0.57204,1.06511,0.67443,0.65035,0.67368,0.33806,1.75666,0.76708,1.39812,0.000352076,0.000352076,0.000352076
71,770.302,1.24786,0.569,1.05497,0.66581,0.65921,0.66747,0.33434,1.80095,0.7714,1.43337,0.000341077,0.000341077,0.000341077
72,780.921,1.2483,0.56772,1.04736,0.66931,0.66676,0.67845,0.3387,1.77229,0.77582,1.41406,0.000330078,0.000330078,0.000330078
73,791.494,1.23762,0.56633,1.055,0.65333,0.65078,0.66393,0.33145,1.77543,0.77947,1.41616,0.000319079,0.000319079,0.000319079
74,802.083,1.2432,0.56429,1.05174,0.65796,0.68148,0.67844,0.33859,1.75684,0.73971,1.40776,0.00030808,0.00030808,0.00030808
75,812.738,1.20756,0.55191,1.05501,0.66693,0.67229,0.67465,0.33488,1.77676,0.76119,1.4219,0.000297081,0.000297081,0.000297081
76,823.492,1.19584,0.54946,1.05084,0.67433,0.6642,0.6762,0.33697,1.76158,0.75451,1.41309,0.000286083,0.000286083,0.000286083
77,834.135,1.18548,0.54173,1.03996,0.67033,0.68496,0.67635,0.3367,1.76153,0.74326,1.40394,0.000275084,0.000275084,0.000275084
78,844.805,1.18397,0.54175,1.03999,0.68251,0.68548,0.68136,0.34072,1.75437,0.73479,1.40548,0.000264085,0.000264085,0.000264085
79,855.458,1.18447,0.54462,1.04158,0.69059,0.66864,0.67822,0.33977,1.76535,0.75088,1.41622,0.000253086,0.000253086,0.000253086
80,866.072,1.18075,0.54348,1.04815,0.68333,0.6403,0.67539,0.33714,1.79487,0.79277,1.43935,0.000242087,0.000242087,0.000242087
81,876.7,1.19621,0.53429,1.03254,0.65403,0.68279,0.68047,0.33387,1.79415,0.76173,1.44716,0.000231088,0.000231088,0.000231088
82,887.37,1.16002,0.52624,1.0283,0.65105,0.68975,0.66839,0.32599,1.79886,0.74239,1.44919,0.000220089,0.000220089,0.000220089
83,898.115,1.17312,0.52994,1.03092,0.66073,0.6854,0.6676,0.32939,1.77771,0.73746,1.44048,0.00020909,0.00020909,0.00020909
84,908.864,1.14067,0.52172,1.04449,0.66725,0.6756,0.67122,0.33354,1.76904,0.74121,1.43973,0.000198091,0.000198091,0.000198091
85,919.594,1.15229,0.52184,1.01366,0.66418,0.67393,0.67067,0.33636,1.76919,0.74963,1.43456,0.000187092,0.000187092,0.000187092
86,930.314,1.16939,0.52958,1.03386,0.67857,0.66035,0.67086,0.3357,1.76802,0.75661,1.43832,0.000176094,0.000176094,0.000176094
87,941.16,1.15814,0.53103,1.03272,0.66848,0.67178,0.66612,0.33305,1.7804,0.76619,1.44976,0.000165095,0.000165095,0.000165095
88,951.92,1.13375,0.52183,1.02421,0.64898,0.66674,0.66489,0.33337,1.76487,0.75782,1.43749,0.000154096,0.000154096,0.000154096
89,962.606,1.11473,0.50869,1.0225,0.65305,0.70064,0.67084,0.33439,1.77007,0.75805,1.43907,0.000143097,0.000143097,0.000143097
90,973.261,1.12415,0.50573,1.00937,0.66733,0.68956,0.67405,0.33452,1.76657,0.76213,1.43351,0.000132098,0.000132098,0.000132098
91,985.27,1.13968,0.50229,1.04605,0.66719,0.67433,0.67559,0.33719,1.78389,0.76987,1.44737,0.000121099,0.000121099,0.000121099
92,996.152,1.10866,0.48827,1.03895,0.69399,0.64311,0.67998,0.33762,1.77644,0.7717,1.44278,0.0001101,0.0001101,0.0001101
93,1006.71,1.11149,0.4916,1.03699,0.69052,0.64968,0.68394,0.33866,1.76632,0.76129,1.43797,9.91012e-05,9.91012e-05,9.91012e-05
94,1017.22,1.08667,0.48327,1.02526,0.6899,0.64774,0.67733,0.33643,1.76186,0.75314,1.43718,8.81023e-05,8.81023e-05,8.81023e-05
95,1027.79,1.06989,0.46953,1.02295,0.66264,0.67286,0.67608,0.33544,1.76595,0.74444,1.44338,7.71034e-05,7.71034e-05,7.71034e-05
96,1038.39,1.06901,0.46755,1.02597,0.6793,0.66999,0.68008,0.33655,1.76427,0.74128,1.43997,6.61045e-05,6.61045e-05,6.61045e-05
97,1048.89,1.06663,0.47246,1.0031,0.67199,0.66914,0.67872,0.33546,1.76423,0.74564,1.4435,5.51056e-05,5.51056e-05,5.51056e-05
98,1059.43,1.05362,0.46896,1.01967,0.67493,0.67037,0.6782,0.33705,1.76097,0.7481,1.44016,4.41067e-05,4.41067e-05,4.41067e-05
99,1070.03,1.05624,0.46376,1.00738,0.66925,0.67177,0.67736,0.3381,1.76696,0.74979,1.44533,3.31078e-05,3.31078e-05,3.31078e-05
100,1080.56,1.0502,0.46197,1.01115,0.6475,0.67698,0.6768,0.33492,1.77281,0.75182,1.4501,2.21089e-05,2.21089e-05,2.21089e-05
